City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Gondanglegi,ID,2020-01-04 20:07:18,-7.75,112.01,73.11,90,97,2.13
263,Alofi,NU,2020-01-04 20:05:42,-19.06,-169.92,80.6,83,0,8.05
264,Nhulunbuy,AU,2020-01-04 20:07:18,-12.18,136.78,80.6,78,100,6.11
265,Lat Yao,TH,2020-01-04 20:07:18,15.75,99.79,73.4,63,12,2.01
266,Gusev,RU,2020-01-04 20:07:19,54.59,22.2,33.44,82,58,9.44
267,Clyde River,CA,2020-01-04 20:03:37,70.47,-68.59,-23.8,67,75,9.17
268,Lakselv,NO,2020-01-04 20:07:19,70.05,24.96,26.6,73,99,33.33
269,Rocha,UY,2020-01-04 20:02:26,-34.48,-54.34,76.86,52,0,14.92
270,Canon City,US,2020-01-04 20:07:19,39.46,-117.13,48.2,31,75,4.7
271,Christchurch,NZ,2020-01-04 20:07:20,-43.53,172.64,57.0,87,100,11.41
272,Eyl,SO,2020-01-04 20:07:20,7.98,49.82,78.22,81,0,17.49
273,Narsaq,GL,2020-01-04 20:05:25,60.91,-46.05,26.6,86,75,3.38
274,Beira,ES,2020-01-04 20:07:20,43.2,-8.36,50.0,93,0,2.24
275,Esmeraldas,BR,2020-01-04 20:07:20,-19.76,-44.31,77.0,83,75,9.17
276,Leningradskiy,RU,2020-01-04 20:05:07,69.38,178.42,-9.0,62,34,1.07
277,Kimberley,ZA,2020-01-04 20:07:21,-28.74,24.76,69.8,60,64,19.46
278,Moron,HT,2020-01-04 20:07:21,18.56,-74.26,80.19,69,7,3.38
279,Khani,GE,2020-01-04 20:07:21,41.96,42.96,35.6,70,56,5.82
280,Sisimiut,GL,2020-01-04 20:07:22,66.94,-53.67,7.54,88,100,4.9
281,Tabou,CI,2020-01-04 20:07:22,4.42,-7.36,73.47,62,0,3.13
282,Boffa,GN,2020-01-04 20:07:22,10.18,-14.04,76.73,56,46,5.46
283,Samagaltay,RU,2020-01-04 20:07:22,50.6,95.0,-11.02,94,93,1.77
284,Revelstoke,CA,2020-01-04 20:07:23,50.99,-118.19,35.6,70,90,4.7
285,Bambanglipuro,ID,2020-01-04 20:07:23,-7.95,110.28,73.65,93,63,4.18
286,Gawler,AU,2020-01-04 20:07:23,-34.6,138.75,55.99,87,90,8.05
287,Kahama,TZ,2020-01-04 20:07:23,-3.83,32.6,66.31,88,76,2.37
288,Sivas,TR,2020-01-04 20:07:24,39.75,37.01,24.8,92,75,6.93
289,Santa Cruz Del Sur,CU,2020-01-04 20:07:24,20.71,-78.0,79.79,75,0,7.18
290,Fougamou,GA,2020-01-04 20:07:24,-1.22,10.59,75.31,96,68,2.82
291,Yulara,AU,2020-01-04 20:07:24,-25.24,130.99,62.6,100,90,6.93
292,San Isidro,CR,2020-01-04 20:07:24,10.02,-84.06,82.4,47,20,16.11
293,Powassan,CA,2020-01-04 20:07:25,46.08,-79.36,28.99,85,90,6.93
294,Lar,IR,2020-01-04 20:07:25,27.66,54.32,60.8,72,75,3.98
295,Siirt,TR,2020-01-04 20:07:25,37.93,41.94,37.74,84,96,0.76
296,Nishihara,JP,2020-01-04 20:07:25,35.74,139.53,41.0,65,20,17.22
297,Smithers,CA,2020-01-04 20:07:26,54.78,-127.17,21.2,92,75,8.05
298,Hlobyne,UA,2020-01-04 20:07:26,49.39,33.25,34.27,98,100,5.46
299,Bilibino,RU,2020-01-04 20:07:26,68.06,166.44,-4.83,48,0,1.52
300,Rio Gallegos,AR,2020-01-04 20:07:26,-51.62,-69.22,62.6,52,40,20.8
301,Saint-Ambroise,CA,2020-01-04 20:07:27,48.56,-71.32,24.8,79,90,9.17
